Provider_Number,STATUS,FYB,FYE,Hospital_Name,Street_Address,City,PO_Box,State,Zip_Code,County,MSA,RPT_REC_NUM,FY,IME_PART_A,IME_PART_C,IME_Capital_PPS,Total_IME_Payments,DSH_Part_A,DSH_Part_C,Total_DSH_Payments,DGME_Part_A_and_C,DGME_Part_B,Total_DGME_Payments,Hospital_Beds,Labor_Delivery_Beds,Total_Hosp_Beds,Total_Hosp_Medicare_Days,Total_Hosp_Medicaid_Days,Total_Hosp_Days,Total_Hosp_Bed_Days_Available,Interns_and_Residents,Total_Hosp_Employees_on_Payroll,Total_Hosp_Nonpaid_Workers,Total_Hosp_CHIP_Discharges,Total_Hosp_Medicare_Discharges,Total_Hosp_Medicaid_Discharges,Total_Hosp_Discharges,Medicaid_HMO_Discharges,Medicaid_HMO_IPF_Subp_Discharges,Medicaid_HMO_IRF_Subp_Discharges,Medicaid_IPF_Subp_Discharges,Medicaid_IRF_Subp_Discharges,Total_IPF_Subp_Discharges,Total_IRF_Subp_Discharges
010001,AS_SUBMITTED,10/01/2022,09/30/2023,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,6987,AL,36301,HOUSTON,2180,765460,2023,3691095,0,187367,3878462,1386232,0,1386232,1924175,997994,2922169,345,0,345,23237,14215,102930,125925,56.61,2438,0,0,4028,2221,18800,1480,0,0,0,0,0,0
010005,AS_SUBMITTED,10/01/2022,09/30/2023,MARSHALL MEDICAL CENTERS SOUTH,2505 U.S. HIGHWAY 431,BOAZ,,AL,35957-,MARSHALL,2880,764878,2023,0,0,0,0,449817,0,449817,0,0,0,182,0,182,7768,8765,34258,66430,0,1360.93,0,0,1419,1583,6846,0,0,0,0,0,0,0
010006,AS_SUBMITTED,07/01/2023,06/30/2024,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,818,AL,35630,LAUDERDALE,2650,791967,2023,4148773,0,210965,4359738,580973,0,580973,2063383,830517,2893900,223,0,223,18192,7703,67738,81618,51.02,1257.57,0,0,3400,1540,12547,0,0,0,0,0,0,0
010007,AS_SUBMITTED,10/01/2022,09/30/2023,MIZELL MEMORIAL HOSPITAL,702 MAIN STREET,OPP,429,AL,36462-,COVINGTON,,764880,2023,0,0,0,0,67626,0,67626,0,0,0,45,0,45,2006,725,5875,16425,0,166.89,0,0,351,190,1258,26,0,0,11,0,195,0
010008,AS_SUBMITTED,01/01/2023,09/30/2023,CRENSHAW COMMUNITY HOSPITAL,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,101 HOSPITAL CIRCLE,AL,36049,CRENSHAW,0,764881,2023,0,0,0,0,16706,0,16706,0,0,0,29,0,29,486,294,1410,7917,0,84.94,0,0,96,64,290,0,0,0,195,0,391,0
010011,AS_SUBMITTED,07/01/2023,06/30/2024,ST. VINCENTS EAST,50 MEDICAL PARK DRIVE EAST,BIRMINGHAM,,AL,35235-,JEFFERSON,1000,796313,2023,1298613,0,73471,1372084,414293,0,414293,1630424,479068,2109492,280,0,280,13169,8212,71444,104004,26.69,955.25,0,0,2301,1356,12766,0,0,0,21,1,270,216
010012,AS_SUBMITTED,04/01/2023,03/31/2024,DEKALB REGIONAL MEDICAL CENTER,200 MEDICAL CENTER DRIVE,FORT PAYNE,,AL,35967,DEKALB,0,784401,2023,0,0,0,0,137218,0,137218,0,0,0,97,0,97,1923,1750,7810,35502,0,295.83,0,0,545,530,2537,11,0,0,15,0,218,0
010016,AS_SUBMITTED,01/01/2023,12/31/2023,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,,AL,35007,SHELBY,1000,775289,2023,0,0,0,0,0,0,0,0,0,0,212,0,212,7882,3212,36510,77380,0,530.14,0,0,1405,510,7249,0,0,0,125,0,597,0
010018,AS_SUBMITTED,10/01/2022,09/30/2023,CALLAHAN EYE FOUNDATION HOSP,1720 UNIVERSITY BOULEVARD,BIRMINGHAM,,AL,35233-,JEFFERSON,1000,764882,2023,49751,0,4064,53815,0,0,0,9053,258699,267752,6,0,6,46,12,262,2190,9.83,274.42,0,0,14,4,91,0,0,0,0,0,0,0
010019,AMENDED,10/01/2022,09/30/2023,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,610,AL,35660-,COLBERT,2650,778137,2023,0,0,0,0,355729,0,355729,0,0,0,178,7,185,7684,5348,25933,67525,0,698.28,0,0,1527,1889,6389,0,0,0,0,0,0,0
